GEO_ID|B01003_E001|B01003_M001
1400000US36047058800|3639|636
1400000US36047058901|1876|213
1400000US36047058902|0|13
1400000US36047059000|2013|326
1400000US36047059100|3885|476
1400000US36047059200|3894|724
1400000US36047059300|2603|297
1400000US36047059402|5730|761
1400000US36047059403|2839|599
1400000US36047059404|4244|660
1400000US36047059600|2235|426
1400000US36047059800|3123|999
1400000US36047060000|6451|925
1400000US36047060600|2766|421
1400000US36047060800|3779|504
1400000US36047061002|5163|921
1400000US36047061003|2047|316
1400000US36047061004|5659|648
1400000US36047061200|1094|164
1400000US36047061600|1553|197
1400000US36047062000|1807|385
1400000US36047062200|2891|417
1400000US36047062600|3225|492
1400000US36047062800|4879|515
1400000US36047063200|1468|274
1400000US36047063600|1112|204
1400000US36047063800|1851|301
1400000US36047064000|1581|466
1400000US36047064200|2687|396
1400000US36047064400|2447|514
1400000US36047064600|2187|360
1400000US36047064800|1933|291
1400000US36047065000|1312|271
1400000US36047065200|1180|174
1400000US36047065400|1759|279
1400000US36047065600|1844|281
1400000US36047065800|1792|314
1400000US36047066000|1912|303
1400000US36047066200|1144|269
1400000US36047066600|0|13
1400000US36047067000|2598|359
1400000US36047067200|1559|345
1400000US36047067400|1910|341
1400000US36047067600|1795|399
1400000US36047067800|2675|553
1400000US36047068000|1907|430
1400000US36047068200|2844|410
1400000US36047068600|1724|355
1400000US36047068800|1628|248
1400000US36047069000|1728|500
1400000US36047069200|2288|442
1400000US36047069601|3406|558
1400000US36047069602|5630|1074
1400000US36047069800|1452|310
1400000US36047070000|1402|298
1400000US36047070201|6804|882
1400000US36047070202|13|19
1400000US36047070203|0|13
1400000US36047070601|2584|463
1400000US36047070602|0|13
1400000US36047072000|1938|379
1400000US36047072200|2187|597
1400000US36047072400|1694|305
1400000US36047072600|2647|732
1400000US36047072800|3594|550
1400000US36047073000|2449|477
1400000US36047073200|1927|425
1400000US36047073400|1479|421
1400000US36047073600|2807|520
1400000US36047073800|3464|646
1400000US36047074000|3816|876
1400000US36047074200|2799|479
1400000US36047074400|3068|540
1400000US36047074600|2149|691
1400000US36047074800|1595|424
1400000US36047075000|2845|463
1400000US36047075200|1151|347
